sucursala,numar_comanda
Bragadiru,2085195
Bragadiru,2085263
Bragadiru,2085290
Bragadiru,2085825
Bragadiru,2085944
Bragadiru,2085974
Bragadiru,2086008
Bragadiru,2086025
Bragadiru,2086035
Bragadiru,2086043
Bragadiru,2086052
Bragadiru,2086055
Bragadiru,2086074
Bragadiru,2086120
Bragadiru,2086284
Bragadiru,2086302
Bragadiru,2086367
Bragadiru,2086508
Bragadiru,2086531
Bragadiru,2086592
Bragadiru,2086597
Bragadiru,2086632
Bragadiru,2086644
Bragadiru,2086880
Bragadiru,2087229
Bragadiru,2087473
Bragadiru,2087844
Bragadiru,2087885
Bragadiru,2087923
Bragadiru,2087946
Bragadiru,2088151
Bragadiru,2088488
Bragadiru,2088529
Bragadiru,2088559
Bragadiru,2088601
Bragadiru,2088911
Bragadiru,2089191
Bragadiru,2089238
Bragadiru,2089380
Bragadiru,2089773
Bragadiru,2089776
Bragadiru,2089955
Bragadiru,2090022
Bragadiru,2090029
Bragadiru,2090093
Bragadiru,2090105
Bragadiru,2090145
Bragadiru,2090176
Bragadiru,2090536
Bragadiru,2090884
Bragadiru,2091283
Bragadiru,2091580
Bragadiru,2091683
Bragadiru,2091827
Bragadiru,2091945
Bragadiru,2092186
Bragadiru,2092244
Bragadiru,2092404
Bragadiru,2092645
Bragadiru,2092813
Bragadiru,2092823
Bragadiru,2093484
Bragadiru,2093490
Bragadiru,2093736
Bragadiru,2093759
Bragadiru,2093948
Bragadiru,2094014
Bragadiru,2095050
Bragadiru,2095110
Bragadiru,2095227
Bragadiru,2095645
Bragadiru,2096160
Bragadiru,2096505
Bragadiru,2096759
Bragadiru,2097929
Bragadiru,2098065
Brasov,1911603
Brasov,1936449
Brasov,1961571
Brasov,2004090
Brasov,2010908
Brasov,2019205
Brasov,2024389
Brasov,2024512
Brasov,2026023
Brasov,2027199
Brasov,2028787
Brasov,2028983
Brasov,2029229
Brasov,2029480
Brasov,2029543
Brasov,2029609
Brasov,2030161
Brasov,2030294
Brasov,2031210
Brasov,2031703
Brasov,2031780
Brasov,2032122
Brasov,2032499
Brasov,2032891
Brasov,2033518
Brasov,2035363
Brasov,2035832
Brasov,2035864
Brasov,2035902
Brasov,2035964
Brasov,2036006
Brasov,2036018
Brasov,2036034
Brasov,2036042
Brasov,2036076
Brasov,2036094
Brasov,2036116
Brasov,2036121
Brasov,2036202
Brasov,2036220
Brasov,2036225
Brasov,2036246
Brasov,2036332
Brasov,2036344
Brasov,2036407
Brasov,2036410
Brasov,2036448
Brasov,2036500
Brasov,2036539
Brasov,2036551
Brasov,2036559
Brasov,2036562
Brasov,2036685
Brasov,2036809
Brasov,2036844
Brasov,2036912
Brasov,2036953
Brasov,2036987
Brasov,2037124
Brasov,2037179
Brasov,2037308
Brasov,2037313
Brasov,2037353
Brasov,2037471
Brasov,2037556
Brasov,2037581
Brasov,2037599
Brasov,2037657
Brasov,2037707
Brasov,2037753
Brasov,2037767
Brasov,2037783
Brasov,2037798
Brasov,2037872
Brasov,2037885
Brasov,2037912
Brasov,2038000
Brasov,2038055
Brasov,2038217
Brasov,2038239
Brasov,2038323
Brasov,2038434
Brasov,2038540
Brasov,2038549
Brasov,2038572
Brasov,2038618
Brasov,2038689
Brasov,2038731
Brasov,2038828
Brasov,2038876
Brasov,2038880
Brasov,2038955
Brasov,2038961
Brasov,2038994
Brasov,2039013
Brasov,2039124
Brasov,2039125
Brasov,2039143
Brasov,2039162
Brasov,2039217
Brasov,2039287
Brasov,2039291
Brasov,2039341
Brasov,2039369
Brasov,2039391
Brasov,2039424
Brasov,2039625
Brasov,2039714
Brasov,2039743
Brasov,2039783
Brasov,2039806
Brasov,2039860
Brasov,2039941
Brasov,2039980
Brasov,2040011
Brasov,2040045
Brasov,2040112
Brasov,2040124
Brasov,2040146
Brasov,2040166
Brasov,2040173
Brasov,2040215
Brasov,2040233
Brasov,2040387
Brasov,2040392
Brasov,2040424
Brasov,2040440
Brasov,2040584
Brasov,2040602
Brasov,2040654
Brasov,2040659
Brasov,2040669
Brasov,2040719
Brasov,2040727
Brasov,2040751
Brasov,2040758
Brasov,2040813
Brasov,2040814
Brasov,2040836
Brasov,2040843
Brasov,2040847
Brasov,2040848
Brasov,2040871
Brasov,2040872
Brasov,2040904
Brasov,2040913
Brasov,2040955
Brasov,2040989
Brasov,2041022
Brasov,2041029
Brasov,2041116
Brasov,2041183
Brasov,2041205
Brasov,2041287
Brasov,2041289
Brasov,2041324
Brasov,2041380
Brasov,2041395
Brasov,2041412
Brasov,2041447
Brasov,2041461
Brasov,2041490
Brasov,2041557
Brasov,2041590
Brasov,2041631
Brasov,2041894
Brasov,2041907
Brasov,2041911
Brasov,2041949
Brasov,2042050
Brasov,2042083
Brasov,2042113
Brasov,2042190
Brasov,2042218
Brasov,2042226
Brasov,2042232
Brasov,2042262
Brasov,2042291
Brasov,2042292
Brasov,2042311
Brasov,2042387
Brasov,2042400
Brasov,2042456
Brasov,2042580
Brasov,2042640
Brasov,2042680
Brasov,2042690
Brasov,2042719
Brasov,2042789
Brasov,2042896
Brasov,2042953
Brasov,2042959
Brasov,2042972
Brasov,2042987
Brasov,2042993
Brasov,2043005
Brasov,2043016
Brasov,2043050
Brasov,2043068
Brasov,2043108
Brasov,2043192
Brasov,2043221
Brasov,2043239
Brasov,2043263
Brasov,2043295
Brasov,2043317
Brasov,2043409
Brasov,2043498
Brasov,2043530
Brasov,2043605
Brasov,2043638
Brasov,2043715
Brasov,2043730
Brasov,2043754
Brasov,2043764
Brasov,2043795
Brasov,2043848
Brasov,2043867
Brasov,2043909
Brasov,2043912
Brasov,2043950
Brasov,2043973
Brasov,2044013
Brasov,2044040
Brasov,2044049
Brasov,2044054
Brasov,2044149
Brasov,2044175
Brasov,2044209
Brasov,2044227
Brasov,2044238
Brasov,2044251
Brasov,2044266
Brasov,2044384
Brasov,2044481
Brasov,2044496
Brasov,2044596
Brasov,2044604
Brasov,2044738
Brasov,2044744
Brasov,2044746
Brasov,2044790
Brasov,2044797
Brasov,2044880
Brasov,2044942
Brasov,2044955
Brasov,2044967
Brasov,2045011
Brasov,2045044
Brasov,2045058
Brasov,2045126
Brasov,2045149
Brasov,2045163
Brasov,2045166
Brasov,2045174
Brasov,2045189
