numar_factura,data
2410001241,1/10/2024
2410001255,1/10/2024
2410001256,1/10/2024
2410001257,1/10/2024
2410001258,1/10/2024
2410001260,1/10/2024
2410001261,1/10/2024
2410001271,1/11/2024
2410001277,1/11/2024
2410001278,1/11/2024
2410001281,1/11/2024
2410001283,1/11/2024
2410001286,1/11/2024
2410001288,1/11/2024
2410001290,1/11/2024
2410001292,1/11/2024
2410001296,1/11/2024
2410001303,1/11/2024
2410001308,1/11/2024
2410001311,1/11/2024
2410001312,1/11/2024
2410001313,1/11/2024
2410001318,1/11/2024
2410001326,1/11/2024
2410001327,1/11/2024
2410001331,1/11/2024
2410001332,1/11/2024
2410001338,1/11/2024
2410001344,1/11/2024
2410001345,1/11/2024
2410001348,1/11/2024
2410001352,1/11/2024
2410001354,1/11/2024
2410001356,1/11/2024
2410001361,1/11/2024
2410001374,1/11/2024
2410001379,1/11/2024
2410001398,1/11/2024
2410001411,1/11/2024
2410001415,1/11/2024
2410001423,1/11/2024
2410001426,1/11/2024
2410001430,1/11/2024
2410001441,1/11/2024
2410001442,1/11/2024
2410001446,1/11/2024
2410001447,1/11/2024
2410001450,1/11/2024
2410001451,1/11/2024
2410001456,1/11/2024
2410001457,1/11/2024
2410001468,1/11/2024
2410001472,1/11/2024
2410001473,1/11/2024
2410001479,1/11/2024
2410001481,1/11/2024
2410001483,1/11/2024
2410001484,1/11/2024
2410001489,1/11/2024
2410001495,1/11/2024
2410001496,1/11/2024
2410001498,1/11/2024
2410001504,1/11/2024
2410001505,1/11/2024
2410001509,1/11/2024
2410001510,1/11/2024
2410001513,1/11/2024
2410001520,1/11/2024
2410001525,1/11/2024
2410001528,1/11/2024
2410001531,1/11/2024
2410001532,1/11/2024
2410001543,1/11/2024
2410001550,1/11/2024
2410001551,1/11/2024
2410001556,1/12/2024
2410001558,1/12/2024
2410001561,1/12/2024
2410001568,1/12/2024
2410001595,1/12/2024
2410001599,1/12/2024
2410001601,1/12/2024
2410001604,1/12/2024
2410001605,1/12/2024
2410001612,1/12/2024
2410001613,1/12/2024
2410001615,1/12/2024
2410001617,1/12/2024
2410001619,1/12/2024
2410001622,1/12/2024
2410001625,1/12/2024
2410001626,1/12/2024
2410001627,1/12/2024
2410001628,1/12/2024
2410001631,1/12/2024
2410001642,1/12/2024
2410001643,1/12/2024
2410001644,1/12/2024
2410001647,1/12/2024
2410001657,1/12/2024
2410001658,1/12/2024
2410001659,1/12/2024
2410001664,1/12/2024
2410001665,1/12/2024
2410001675,1/12/2024
2410001690,1/12/2024
2410001692,1/12/2024
2410001703,1/12/2024
2410001718,1/12/2024
2410001721,1/12/2024
2410001724,1/12/2024
2410001726,1/12/2024
2410001730,1/12/2024
2410001732,1/12/2024
2410001734,1/12/2024
2410001735,1/12/2024
2410001736,1/12/2024
2410001738,1/12/2024
2410001740,1/12/2024
2410001743,1/12/2024
2410001746,1/12/2024
2410001758,1/12/2024
2410001763,1/12/2024
2410001765,1/12/2024
2410001772,1/12/2024
2410001776,1/12/2024
2410001778,1/12/2024
2410001782,1/12/2024
2410001790,1/12/2024
2410001792,1/12/2024
2410001798,1/12/2024
2410001805,1/12/2024
2410001814,1/12/2024
2410001824,1/12/2024
2410001833,1/12/2024
2410001834,1/12/2024
2410001836,1/13/2024
2410001837,1/13/2024
2410001856,1/15/2024
2410001861,1/15/2024
2410001862,1/15/2024
2410001863,1/15/2024
2410001866,1/15/2024
2410001874,1/15/2024
2410001881,1/15/2024
2410001884,1/15/2024
2410001885,1/15/2024
2410001894,1/15/2024
2410001907,1/15/2024
2410001933,1/15/2024
2410001936,1/15/2024
2410001943,1/15/2024
2410001950,1/15/2024
2410001958,1/15/2024
2410001959,1/15/2024
2410001963,1/15/2024
2410001964,1/15/2024
2410001967,1/15/2024
2410001970,1/15/2024
2410001977,1/15/2024
2410001979,1/15/2024
2410001987,1/15/2024
2410001994,1/15/2024
2410002002,1/15/2024
2410002005,1/15/2024
2410002012,1/15/2024
2410002013,1/15/2024
2410002017,1/15/2024
2410002026,1/15/2024
2410002042,1/15/2024
2410002067,1/15/2024
2410002069,1/15/2024
2410002070,1/15/2024
2410002071,1/15/2024
2410002075,1/15/2024
2410002082,1/15/2024
2410002085,1/15/2024
2410002109,1/15/2024
2410002115,1/15/2024
2410002116,1/15/2024
2410002118,1/15/2024
2410002120,1/15/2024
2410002128,1/15/2024
2410002131,1/15/2024
2410002137,1/15/2024
2410002138,1/15/2024
2410002139,1/15/2024
2410002151,1/15/2024
2410002157,1/15/2024
2410002163,1/16/2024
