numar_factura,numar_comanda,cod_articol,id_cantitate
2400000106,2063774,3797971,1||2063774||8||29
2400000106,2063774,4707539,1||2063774||19||42
2400000106,2063774,4707539,1||2063774||20||42
2400000106,2063774,4723032,1||2063774||12||34
2400000106,2063774,4725102,1||2063774||19||43
2400000106,2063774,4728486,1||2063774||19||44
2400000106,2063774,4737393,1||2063774||12||3
2400000106,2063774,4744461,1||2063774||19||46
2400000106,2063774,4744523,1||2063774||6||27
2400000106,2063774,4750624,1||2063774||6||25
2400000106,2063774,5482248,1||2063774||16||37
2400000106,2063774,5495414,1||2063774||1||1
2400000106,2063774,5935969,1||2063774||6||28
2400000106,2063774,6211533,1||2063774||4||13
2400000106,2063774,6211569,1||2063774||10||14
2400000106,2063774,6211570,1||2063774||10||15
2400000106,2063774,6211571,1||2063774||10||16
2400000106,2063774,6211572,1||2063774||10||17
2400000106,2063774,6211573,1||2063774||10||18
2400000106,2063774,6211578,1||2063774||5||20
2400000106,2063774,6211590,1||2063774||13||24
2400000106,2063774,6220105,1||2063774||15||39
2400000106,2063774,6220106,1||2063774||15||38
2400000106,2063774,6220112,1||2063774||14||33
2400000106,2063774,6220146,1||2063774||16||35
2400000106,2063774,6220147,1||2063774||16||36
2400000106,2063774,6220181,1||2063774||17||40
2400000106,2063774,6221864,1||2063774||19||45
2400000106,2063774,6221866,1||2063774||19||47
2410000005,2035896,1029586,1||2035896||1||1
2410000005,2035896,5030628,1||2035896||1||2
2410000026,2036367,2237161,1||2036367||1||2
2410000026,2036367,5625348,1||2036367||1||1
2410000028,2036526,15833,1||2036526||1||1
2410000038,2036649,3224381,1||2036649||1||1
2410000039,2036649,2844424,1||2036649||2||2
2410000041,2036649,3224381,1||2036649||3||1
2410000043,2020996,1189489,1||2020996||1||4
2410000043,2020996,2525283,1||2020996||1||5
2410000043,2020996,4898255,1||2020996||1||6
2410000045,2034892,7394,1||2034892||1||3
2410000054,2036748,1598247,1||2036748||1||1
2410000054,2036748,1601374,1||2036748||1||2
2410000054,2036748,1601435,1||2036748||1||3
2410000068,2036931,2224090,1||2036931||1||1
2410000083,2037674,4986,1||2037674||1||22
2410000083,2037674,7194,1||2037674||1||5
2410000083,2037674,835377,1||2037674||1||1
2410000083,2037674,1011183,1||2037674||1||18
2410000083,2037674,1011186,1||2037674||1||17
2410000083,2037674,1685043,1||2037674||1||15
2410000083,2037674,2224090,1||2037674||1||16
2410000083,2037674,3223507,1||2037674||1||23
2410000083,2037674,5026322,1||2037674||1||12
2410000085,2023180,2830802,1||2023180||1||3
2410000085,2023180,2830834,1||2023180||1||2
2410000087,2037036,2228764,1||2037036||1||1
2410000088,2037503,2224563,1||2037503||1||2
2410000088,2037503,5753975,1||2037503||1||1
2410000090,2037417,3223507,1||2037417||1||2
2410000090,2037417,5453435,1||2037417||1||1
2410000095,2037745,6919,1||2037745||1||4
2410000095,2037745,179768,1||2037745||1||2
2410000095,2037745,1311018,1||2037745||1||1
2410000095,2037745,3793364,1||2037745||1||5
2410000095,2037745,5440351,1||2037745||1||3
2410000098,2037745,4986,1||2037745||2||6
2410000098,2037745,2307699,1||2037745||2||8
2410000098,2037745,3223507,1||2037745||2||7
2410000108,2033954,834193,1||2033954||1||3
2410000109,2036728,3146673,1||2036728||4||5
2410000113,2037847,2542161,1||2037847||1||1
2410000126,2038202,4757097,1||2038202||1||1
2410000138,2038360,5347,1||2038360||1||3
2410000138,2038360,5377,1||2038360||1||4
2410000138,2038360,6919,1||2038360||1||1
2410000138,2038360,8307,1||2038360||1||2
2410000157,2038214,2219543,1||2038214||1||6
2410000157,2038214,4746853,1||2038214||1||5
2410000165,2037878,1595804,1||2037878||1||1
2410000167,2038331,2574876,1||2038331||1||1
2410000170,2038523,4986948,1||2038523||1||1
2410000184,2036908,2251096,1||2036908||2||4
2410000198,2036674,3213309,1||2036674||2||1
2410000198,2036674,3223507,1||2036674||2||2
2410000215,2038590,1196067,1||2038590||1||1
2410000267,2038907,2268315,1||2038907||1||1
2410000293,2036921,2569998,1||2036921||2||2
2410000308,2038844,1731235,1||2038844||1||3
2410000308,2038844,5799229,1||2038844||1||1
2410000311,2038987,6916,1||2038987||1||2
2410000311,2038987,3237908,1||2038987||1||1
2410000314,2021661,1013825,1||2021661||1||5
2410000318,2021661,3213729,1||2021661||2||6
2410000318,2021661,4984901,1||2021661||2||7
2410000319,2039054,75468,1||2039054||1||2
2410000319,2039054,2800142,1||2039054||1||1
2410000330,2039033,1016925,1||2039033||1||2
2410000330,2039033,1016937,1||2039033||1||1
2410000341,2039118,4986,1||2039118||1||2
2410000341,2039118,2226277,1||2039118||1||6
2410000341,2039118,2226315,1||2039118||1||7
2410000341,2039118,3223507,1||2039118||1||3
2410000341,2039118,3223507,1||2039118||1||5
2410000341,2039118,5638528,1||2039118||1||1
2410000341,2039118,5699367,1||2039118||1||4
2410000356,2038095,1623472,1||2038095||4||17
2410000356,2038095,2830801,1||2038095||4||13
